,USAFID,WBAN,YR,M,D,HR,MIN,LAT,LONG,ELEV,WIND_DIR,WIND_SPD,TEMP,DEW_POINT,ATM_PRES
74,722247,54785,2013,1,3,23,53,40.624,-74.669,30,999,0.0,-2.2,-9.4,1019.5
75,722247,54785,2013,1,4,0,53,40.624,-74.669,30,999,0.0,-1.7,-9.4,1019.6
76,722247,54785,2013,1,4,1,53,40.624,-74.669,30,999,0.0,-2.2,-8.9,1019.2
77,722247,54785,2013,1,4,2,53,40.624,-74.669,30,999,0.0,-3.9,-7.8,1019.1
78,722247,54785,2013,1,4,3,53,40.624,-74.669,30,999,1.5,0.6,-7.8,1019.1
79,722247,54785,2013,1,4,4,53,40.624,-74.669,30,999,1.5,0.0,-7.8,1018.5
80,722247,54785,2013,1,4,4,59,40.624,-74.669,30,999,999.9,999.9,999.9,9999.9
81,722247,54785,2013,1,4,5,53,40.624,-74.669,30,999,0.0,-2.8,-7.8,1018.1
82,722247,54785,2013,1,4,6,53,40.624,-74.669,30,999,0.0,-4.4,-7.8,1018.2
83,722247,54785,2013,1,4,7,53,40.624,-74.669,30,999,0.0,-5.6,-7.8,1018.5
84,722247,54785,2013,1,4,8,53,40.624,-74.669,30,999,0.0,-5.0,-7.2,1018.5
85,722247,54785,2013,1,4,9,53,40.624,-74.669,30,999,0.0,0.0,-5.6,1018.5
86,722247,54785,2013,1,4,10,53,40.624,-74.669,30,999,2.6,1.1,-6.1,1018.6
87,722247,54785,2013,1,4,11,53,40.624,-74.669,30,999,1.5,1.1,-5.6,1018.7
88,722247,54785,2013,1,4,12,53,40.624,-74.669,30,999,1.5,1.1,-6.1,1018.7
89,722247,54785,2013,1,4,13,53,40.624,-74.669,30,999,2.1,1.7,-6.1,1018.9
90,722247,54785,2013,1,4,14,53,40.624,-74.669,30,999,3.1,1.7,-6.1,1019.0
91,722247,54785,2013,1,4,15,53,40.624,-74.669,30,280,3.6,1.7,-6.1,1018.2
92,722247,54785,2013,1,4,16,53,40.624,-74.669,30,270,3.6,2.2,-6.7,1017.2
93,722247,54785,2013,1,4,17,53,40.624,-74.669,30,280,5.1,2.2,-6.7,1016.3
94,722247,54785,2013,1,4,18,53,40.624,-74.669,30,270,3.6,2.8,-6.1,1015.7
95,722247,54785,2013,1,4,19,53,40.624,-74.669,30,290,6.2,2.8,-6.1,1015.2
96,722247,54785,2013,1,4,20,53,40.624,-74.669,30,999,2.6,2.8,-6.7,1015.0
97,722247,54785,2013,1,4,21,53,40.624,-74.669,30,240,2.1,2.2,-6.7,1015.0
98,722247,54785,2013,1,4,22,53,40.624,-74.669,30,999,1.5,1.7,-6.1,1015.5
99,722247,54785,2013,1,4,23,53,40.624,-74.669,30,999,2.1,2.2,-6.1,1015.8
100,722247,54785,2013,1,5,0,53,40.624,-74.669,30,290,3.6,2.2,-6.1,1015.7
101,722247,54785,2013,1,5,1,53,40.624,-74.669,30,999,2.1,1.7,-6.7,1015.6
102,722247,54785,2013,1,5,2,53,40.624,-74.669,30,290,3.1,1.7,-7.2,1015.9
103,722247,54785,2013,1,5,3,53,40.624,-74.669,30,999,3.1,1.1,-7.8,1016.5
104,722247,54785,2013,1,5,4,53,40.624,-74.669,30,999,3.1,1.1,-7.8,1016.7
105,722247,54785,2013,1,5,4,59,40.624,-74.669,30,999,999.9,999.9,999.9,9999.9
106,722247,54785,2013,1,5,5,53,40.624,-74.669,30,290,3.1,0.6,-7.8,1017.3
